Acetylene 90K, FTIR 4 wavenumber FWHM

      Microns         uncorrected reflectance
       2.094608       0.676457
       2.095454       0.674214
       2.096302       0.672203
       2.097150       0.671550
       2.097999       0.671171
       2.098848       0.669457
       2.099698       0.666686
       2.100549       0.664463
       2.101400       0.663816
       2.102252       0.662818
       2.103105       0.660327
       2.103959       0.658409
       2.104813       0.657246
       2.105668       0.655329
       2.106524       0.652944
       2.107380       0.651437
       2.108237       0.650015
       2.109094       0.650553
       2.109953       0.651483
       2.110812       0.649126
       2.111672       0.646296
       2.112532       0.644371
       2.113394       0.642153
       2.114255       0.640437
       2.115118       0.639322
       2.115981       0.638395
       2.116845       0.638060
       2.117710       0.638990
       2.118576       0.640251
       2.119442       0.640808
       2.120309       0.638979
       2.121176       0.639355
       2.122045       0.642776
       2.122913       0.642884
       2.123783       0.639709
       2.124654       0.634862
       2.125525       0.631063
       2.126396       0.629916
       2.127269       0.628698
       2.128142       0.625098
       2.129016       0.620408
       2.129891       0.616719
       2.130766       0.611723
       2.131642       0.604718
       2.132519       0.598515
       2.133397       0.591885
       2.134275       0.580692
       2.135154       0.569567
       2.136034       0.577788
       2.136914       0.609783
       2.137795       0.642684
       2.138677       0.665112
       2.139560       0.679414
       2.140444       0.686402
       2.141328       0.688149
       2.142213       0.688566
       2.143099       0.692368
       2.143985       0.695062
       2.144872       0.692967
       2.145760       0.692658
       2.146648       0.694858
       2.147537       0.696570
       2.148427       0.695399
       2.149318       0.691866
       2.150209       0.689957
       2.151101       0.688236
       2.151994       0.685132
       2.152888       0.683044
       2.153783       0.682652
       2.154678       0.683003
       2.155574       0.682960
       2.156470       0.683705
       2.157368       0.685346
       2.158266       0.686732
       2.159165       0.686979
       2.160064       0.686487
       2.160964       0.688488
       2.161865       0.689942
       2.162767       0.689192
       2.163670       0.690251
       2.164573       0.690805
       2.165478       0.689150
       2.166383       0.686009
       2.167288       0.685072
       2.168195       0.684989
       2.169102       0.686068
       2.170010       0.691029
       2.170919       0.696402
       2.171828       0.698091
       2.172739       0.700876
       2.173650       0.707987
       2.174561       0.708312
       2.175474       0.703984
       2.176387       0.704814
       2.177301       0.708346
       2.178216       0.713057
       2.179132       0.716329
       2.180048       0.716455
       2.180965       0.716594
       2.181883       0.717555
       2.182801       0.717087
       2.183721       0.715304
       2.184641       0.716263
       2.185562       0.717610
       2.186484       0.716555
       2.187407       0.714700
       2.188330       0.712566
       2.189254       0.711764
       2.190179       0.713490
       2.191105       0.713686
       2.192032       0.710284
       2.192959       0.706298
       2.193887       0.702089
       2.194816       0.697863
       2.195745       0.694144
       2.196676       0.690082
       2.197607       0.686257
       2.198539       0.680957
       2.199472       0.675639
       2.200405       0.669614
       2.201339       0.660498
       2.202275       0.651488
       2.203211       0.641801
       2.204147       0.628771
       2.205085       0.613174
       2.206023       0.598258
       2.206962       0.588207
       2.207902       0.583655
       2.208843       0.581392
       2.209784       0.576459
       2.210727       0.568381
       2.211670       0.561354
       2.212614       0.554701
       2.213559       0.545801
       2.214504       0.532313
       2.215451       0.517547
       2.216398       0.504980
       2.217346       0.495121
       2.218295       0.488042
       2.219244       0.480650
       2.220195       0.473352
       2.221146       0.469249
       2.222098       0.471431
       2.223051       0.481374
       2.224005       0.497238
       2.224959       0.513423
       2.225914       0.526510
       2.226871       0.536868
       2.227827       0.547123
       2.228785       0.557115
       2.229744       0.571567
       2.230703       0.606634
       2.231663       0.660626
       2.232625       0.706713
